id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_CODE_2021,SA1_NAME_2021,SA2_CODE_2021,SA2_NAME_2021,SA3_CODE_2021,SA3_NAME_2021,SA4_CODE_2021,SA4_NAME_2021,RA_2011,RA_2016,RA_2021,RA_2021_NAME,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating,sed_code,sed_name
"23884","0872","AMATA","SA","131.1738799","-26.12766197","","","Updated 3-Dec-2022","70202","Barkly","702","Northern Territory - Outback","R1","-25.1299","132.57","70202105509","Tara (NT)","702021055","Barkly","","","","","5","5","","","7","7","","691.280029296875","NT1","PHN701","Northern Territory","Laverton","54970","Lingiari","Rural","70019","Namatjira"
"20133","0872","AYERS RANGE SOUTH","SA","133.2680322","-26.1906007","Northern Territory Country 3","Delivery Area","Updated 3-Dec-2022","70202","Barkly","702","Northern Territory - Outback","R1","-26.1906","133.268","70202105509","Tara (NT)","702021055","Barkly","","","","","5","5","","","7","7","","469.465911865234","NT1","PHN701","Northern Territory","Laverton","54970","Lingiari","Rural","70019","Namatjira"
"20140","0872","DE ROSE HILL","SA","133.3111959","-26.5560969","Northern Territory Country 3","Delivery Area","Updated 3-Dec-2022","70202","Barkly","702","Northern Territory - Outback","R1","-26.5561","133.311","70202105509","Tara (NT)","702021055","Barkly","","","","","5","5","","","7","7","","403.880737304688","NT1","PHN701","Northern Territory","Laverton","54970","Lingiari","Rural","70019","Namatjira"
"411","0872","ERNABELLA","SA","131.298809","-21.949513","","","Updated 3-Dec-2022","70202","Barkly","702","Northern Territory - Outback","R1","-26.2796","132.134","70202105509","Tara (NT)","702021055","Barkly","","","","","5","5","","","7","7","","584.619018554688","NT1","PHN701","Northern Territory","Laverton","54970","Lingiari","Rural","70019","Namatjira"
"22838","0872","ERNABELLA (PUKATJA)","SA","132.134","-26.2796","","","Updated 3-Dec-2022","70202","Barkly","702","Northern Territory - Outback","R1","-26.2796","132.134","70202105509","Tara (NT)","702021055","Barkly","","","","","5","5","","","7","7","","-3492","NT1","PHN701","Northern Territory","Laverton","54970","Lingiari","Rural","70019","Namatjira"
"413","0872","FREGON","SA","131.298809","-21.949513","","","Updated 3-Dec-2022","70202","Barkly","702","Northern Territory - Outback","R1","-26.7655","132.028","70202105509","Tara (NT)","702021055","Barkly","","","","","5","5","","","7","7","","584.619018554688","NT1","PHN701","Northern Territory","Laverton","54970","Lingiari","Rural","70019","Namatjira"
"419","0872","INDULKANA","SA","131.298809","-21.949513","","","Updated 3-Dec-2022","70202","Barkly","702","Northern Territory - Outback","R1","-26.9661","133.308","70202105509","Tara (NT)","702021055","Barkly","","","","","5","5","","","7","7","","584.619018554688","NT1","PHN701","Northern Territory","Laverton","54970","Lingiari","Rural","70019","Namatjira"
"22844","0872","INDULKANA (IWANTJA)","SA","133.308","-26.9661","","","Updated 3-Dec-2022","70202","Barkly","702","Northern Territory - Outback","R1","-26.9661","133.308","70202105509","Tara (NT)","702021055","Barkly","","","","","5","5","","","7","7","","-3492","NT1","PHN701","Northern Territory","Laverton","54970","Lingiari","Rural","70019","Namatjira"
"20151","0872","IWANTJA","SA","133.3066861","-26.97805135","Northern Territory Country 3","Delivery Area","Updated 3-Dec-2022","70202","Barkly","702","Northern Territory - Outback","R1","-26.9661","133.308","70202105509","Tara (NT)","702021055","Barkly","","","","","5","5","","","7","7","","412.819671630859","NT1","PHN701","Northern Territory","Laverton","54970","Lingiari","Rural","70019","Namatjira"
"20152","0872","KALKA","SA","129.1527543","-26.11557751","Northern Territory Country 3","Delivery Area","Updated 3-Dec-2022","70202","Barkly","702","Northern Territory - Outback","R1","-26.1171","129.152","70202105509","Tara (NT)","702021055","Barkly","","","","","5","5","","","7","7","","311.383880615234","NT1","PHN701","Northern Territory","Laverton","54970","Lingiari","Rural","70019","Namatjira"
"20153","0872","KALTJITI","SA","132.0298903","-26.76713295","Northern Territory Country 3","Delivery Area","Updated 3-Dec-2022","70202","Barkly","702","Northern Territory - Outback","R1","-26.7655","132.028","70202105509","Tara (NT)","702021055","Barkly","","","","","5","5","","","7","7","","523.535766601563","NT1","PHN701","Northern Territory","Laverton","54970","Lingiari","Rural","70019","Namatjira"
"20155","0872","KANPI","SA","130.1149452","-26.16295046","Northern Territory Country 3","Delivery Area","Updated 3-Dec-2022","70202","Barkly","702","Northern Territory - Outback","R1","-26.1676","130.118","70202105509","Tara (NT)","702021055","Barkly","","","","","5","5","","","7","7","","679.158813476563","NT1","PHN701","Northern Territory","Laverton","54970","Lingiari","Rural","70019","Namatjira"
"20160","0872","LAMBINA","SA","134.0209294","-26.98843007","Northern Territory Country 3","Delivery Area","Updated 3-Dec-2022","70202","Barkly","702","Northern Territory - Outback","R1","-26.9884","134.021","70202105509","Tara (NT)","702021055","Barkly","","","","","5","5","","","7","7","","301.749816894531","NT1","PHN701","Northern Territory","Laverton","54970","Lingiari","Rural","70019","Namatjira"
